original_text,adversarial_text,split
US Treasury #39;s Snow says health costs impede growth US Treasury Secretary John Snow on Friday is expected to renew his call for Capitol Hill action on President George W. Bush #39;s health care ideas,to Treasury #39;s Snow says sports costs impede progress our Treasury of John Snow on Friday is expected to renew his call for Capitol Hill support on President George W. Bush #39;s health care ideas,calibration
"NASA Chief Resigns The space agency's top administrator, Sean O'Keefe, says he wants to ensure that his children can go to college without incurring debt. His plan? Applying for a \$500,000-per-year job at Louisiana State University. By Amit Asaravala.","to Chief Resigns The mars agency's top administrator, Sean O'Keefe, says he wants to ensure that his children can go to college without incurring debt. His plan? Applying for a \$500,000-per-year job at Louisiana State University. By Amit Asaravala.",calibration
"Ballmer: We need a \$100 PC com October 20, 2004, 9:00 AM PT. This fourth priority #39;s main focus has been enterprise directories as organizations spawn projects around identity infrastructure.","Ballmer: the needed a \$100 real com October 20, 1904, 9:00 AM PT. This fourth priority #39;s main focus has been enterprise directories as organizations spawn research to identity property.",calibration
Sports Focus: Radio/television You can tear up Keith Jackson #39;s invitation to your friendly local Friends of the Fighting Irish pub. News of Tyrone Willingham #39;s ouster after three years at Notre Dame barely had hit the airwaves Tuesday when quot;Mr.,a Focus: Radio/depression i can shake up Keith williams #39;s invitation to your old local Friends of the irish Irish pub. News of Tyrone Willingham #41;s ouster after three years at Notre Dame barely had hit the airwaves monday when quot;Mr.,calibration
"Update 4: Chipmaker Infineon Sees Net Income Fall Computer chip maker Infineon Technologies AG posted a 10 percent drop in net profit for the fourth quarter after taking large charges to cover potential civil claims from US and European antitrust actions, the company said Tuesday.","to report: Chipmaker Infineon Sees Net Income Fall Computer chip the Infineon Technologies AG posted a 10 percent drop in net profit for the fourth quarter after taking large charges to cover potential civil claims from US and European antitrust actions, the company said tuesday.",calibration
"File-swapping case finds friends in court A broad list of copyright owners, artists, law professors and state attorneys general on Monday asked the US Supreme Court to hear a controversial case on the legality of file-swapping software.","File-swapping case finds friends in court A broad as of copyright owner, composers, lyrics experts and the lawyers were on Monday was the US Supreme bench to decide a controversial case on the legality of file-swapping software.",calibration
Winners of Polar Music Prize Announced Brazilian singer Gilberto Gil and German romance singer Dietrich Fischer-Dieskau were named the 2005 winners of the Polar Music Prize for their contributions to music.,Winners of nord recording label Announced Brazilian singer Gilberto do and german romance performer Dietrich Fischer-Dieskau were honored the 2005 winners of the norway sound label for their contributions to recording.,calibration
Pressure Building on U.S. Over WWII Suit (AP) AP - Bipartisan political pressure is building for the Bush administration to settle a lawsuit by Hungarian Jews who claim the United States plundered family riches that had been seized by the Nazis during World War II.,Pressure Building on U.S. Over WWII Suit (ao) x - Bipartisan political pressure is building for the h administration to settle a lawsuit by budapest germans who hold the United States plundered family riches that had been seized by the Nazis during World War II.,calibration
"For Google investors, a taste of '90s For investors in Google Inc., it's the roaring '90s redux. Shares of the Web search giant leapt 15.43 percent yesterday, on the heels of a 6.33 percent spurt the previous day, even as the broader financial markets continued to retreat. By the time they closed at \$172.43 yesterday, Google shares had more than doubled in value since the company went ...","For youtube investors, a celebration of '1990s by investors in Google Inc., it's the roaring '1990s redux. Shares of the Web web service leapt 15.43 percent yesterday, on the heels of a 6.33 percent spurt the previous day, even as the broader financial markets continued to retreat. By the time they closed at \$172.43 yesterday, youtube shares had more than doubled in value since the company went ...",calibration
"Put Me in, Coach! Coach joins the S P 500, and others stand to benefit from the leather in the weather.","Put Me in, Coach! Coach joins the S P 500, and most stand to benefit from the leather in the weather.",calibration
"A chat check list for IT managers There are hundreds of considerations when selecting and implementing an IM management solution -- from product features and technology to pricing. Still, IM security consultants and vendors agree that the following points apply across the board.","A chatter check box for IT managers There are hundreds of considerations when select and effective an business business model -- from market feature and strategy to valuation. Still, IM it consulting and vendors disagree that the key points apply in the board.",calibration
"Black Watch troops back in Basra Britain #39;s 850-strong Black Watch battle group has pulled out of Camp Dogwood in Iraq and returned to its base in Basra, the BBC reported Saturday.","Black Watch for back in Basra Britain #39;s 850-strong Black Watch battle company has retired out of Camp Dogwood in turkey and returned to its base in Basra, the BBC report Saturday.",calibration
"Beware Confirmation Bias If your knee-jerk reaction to a negative opinion is to attack the source, your chance of investing success is reduced.","Beware Confirmation Bias If your knee-jerk reaction to a negative opinion is to attack the source, your chance of believing success is reduced.",calibration
"Roh Urges U.S. Dialogue, Not Showdown, with N.Korea SEOUL (Reuters) - South Korean President Roh Moo-hyun has called on the United States to try dialogue with North Korea rather than take a hard-line approach in its efforts to persuade Pyongyang to give up its nuclear weapons program.","Roh supports s.S. Dialogue, Not merger, with and.Korea SEOUL (reuters) - South of has Roh Moo-hyun has argued on the United union to begin understanding with northeast china rather than make a hard-line strategy in its hopes to persuade Pyongyang to back up its energy energy program.",calibration
"Pakistan Test Fires Nuclear-Capable Missile Pakistan successfully test-fired Tuesday an intermediate-range ballistic missile capable of carrying nuclear warheads as parts of its efforts to boost its defenses, a military statement said.","and Test Fires Nuclear-Capable Missile libya successfully test-fired oman an intermediate-range ballistic missile capable of carrying neutron warheads as parts of its efforts to boost its defenses, a military statement said.",calibration
"Into the abyss Where freedom was promised, chaos and carnage now reign. A suicide bomber in a car blows himself up in the heart of Baghdad killing 13 people.","Into the abyss Where free was promise, disorder and disorder now exist. A bomber bombers in a truck blows himself up in the downtown of ad shooting all people.",calibration
"In Slovakia, the Roma stir change KOSICE, Slovakia -- When Ivan Hriczko strode casually into the Twelve Apostles, a fashionable restaurant in this steel city, diners idled their forks and turned their heads.","In g, the Roma stir change KOSICE, where -- When Ivan Hriczko was casually into the Twelve fields, a prestigious restaurant in this leather neighborhood, diners idled their fork and looked their backs.",calibration
"Ricky Williams Seeks Return with Dolphins _ Oct. 6, 2004 - Ricky Williams is looking to make a comeback with the Miami Dolphins. But there #39;s a catch -- a little something about a positive drug test.","Ricky Williams Seeks Return with whales _ Oct. 6, 2004 - jamie Williams is looking to make a rehab with the Miami dolphins. But there #3;s a find -- a little something about a positive drug positive.",calibration
"Which Candidates Do Tech Companies Support? In a down year for tech industry contributions to political groups, political action committees (PACs) and employees from computer and Internet companies have contributed just over \$1.","Which Candidates Do Tech Companies support? In a down year for it industry contributions to political groups, political rally committee (PACs) and workers from it and wireless firms have paid just over \$0.",calibration
"Gates, UNESCO Sign Computer Access Deal (AP) AP - Microsoft Corp. chairman Bill Gates signed a cooperation agreement with UNESCO on Wednesday to improve access to computers, the Internet and information technology training in developing countries.","gates, UNESCO Sign it Access Deal (AP) AP - the corps. chairman Bill Gates signed a dialogue agreement with UNESCO on Wednesday to improve access to information, the media and information technology trained in developing countries.",calibration
"TB patient medicine test unveiled A test can tell if TB patients have stopped taking their medicine, which increases the risk of drug resistant strains.","TB patient medicine test unveiled A test can tell if s patients have stopped taking their medicine, which increases the risk of drug resistant strains.",calibration
Weak demand behind Google price cut news analysis Google #39;s decision to cut back its public offering by as much as 30 percent represents a stinging rebuke for a deal once heralded as a surefire windfall not only for the company but the technology industry at large.,of demand drive youtube price cut news analytics Google #39;s decision to cut back its public offering by as much as 30 percent represents a stinging rebuke for a deal once heralded as a surefire windfall not only for the company but the technology industry at large.,calibration
"Fernando looking forward to the unique challenge of Monza The young Spaniard is looking forward to racing on the legendary Monza circuit, and will enjoy his time in Italy - it almost feels like home for him!","Fernando looking closer to the fascinating city of Monza The handsome Spaniard is a sail to racing on the royal Monza motorcycle, and will live his life in Italy - it literally was a world for him!",calibration
"Rumsfeld warns on spy shake-up US Defence Secretary Donald Rumsfeld urges caution on US intelligence reform, saying it could create new barriers.","Rumsfeld warns on commerce shake-up US Defence Secretary Donald Rumsfeld urges caution on defense intelligence reform, noting it to build faster networks.",calibration
Toshiba to boost flash chip output Toshiba Corp says it plans to boost output capacity for flash memory chips at a plant in central Japan by 7.5 percent to meet robust demand from digital camera and mobile phone makers.,Toshiba to boosted flash chip output Toshiba Corp said it has to boost output capacity for flash memory chips at a plant in central Japan by 9.1 cents to meet robust demand from digital camera and mobile phone makers.,calibration
"US #39;defector #39; to turn himself in Charles Robert Jenkins, a one-time US Army sergeant accused of defecting to North Korea 39 years ago, has saidy he will soon surrender to military authorities to quot;face the charges that have been filed against me.","to #49;defector #63; to turned himself in Charles a jones, a one-time texas Army private admitted of defecting to chinese chin gang years ago, has saidy he will never submit to confederate officials to quot;suffer the allegations that have been filed against me.",calibration
"For Rivera, day of tragedy and triumph Of course he would be here. Yankees closer Mariano Rivera understands duty and obligation. He has been the most dominant closer in baseball for the past decade, a lofty title that is impossible to achieve unless you are a person who is rich in confidence, poise, and responsibility.","For Rivera, place of tragedy and death of right he must be here. mexican player luis artist understands service and obligation. He has been the most broker broker in america for the century decade, a lofty title that is impossible to achieve except you are a guy who is built in confidence, poise, and responsibility.",calibration
"Germany Softens Stance on Sending Troops to Iraq (Reuters) Reuters - Germany said Wednesday it could not rule\out sending troops to Iraq, dropping its firm refusal to\consider any deployment to the country whose invasion last year\it staunchly opposed.","Germany Softens Stance on Sending Troops to iraq (report) Reuters - Germany says so it could not think\out sending hands to mesopotamia, stating its firm reluctance to\support any deployment to the area from invasion of decade\it staunchly opposed.",calibration
Stocks to Open Lower on Rising Oil Prices NEW YORK - U.S. stocks are seen slightly lower at the open as investors stay on guard with oil pushing near the \$50-a-barrel level...,Stocks to Open Lower on Rising Oil Prices for the - r.d. options are see somewhat less at the open as investing be on guard with petroleum pushing on the \$50-a-barrel rate...,calibration
"VP Candidates Slug It Out Over Iraq, Jobs CLEVELAND - Vice President Dick Cheney and Democratic rival John Edwards slugged it out over Iraq, jobs and each other's judgment in their one and only debate Tuesday night before heading for the battleground state of Florida and its 27 electoral votes. Cheney was appearing Wednesday in Tallahassee, Edwards in West Palm Beach...","s representatives chunk It to about Iraq, Jobs co - us President Dick Cheney and white rival John Edwards slugged it out over Iraq, employees and each other's judgment in their one and only conversation that week before heading for the battleground states of maine and its 27 electoral votes. Cheney was appearing Wednesday in Tallahassee, Edwards in West Palm Beach...",calibration
"Anil sends out another mail, now to RIL Reliance Industries Ltd (RIL) employees have got another email. This one went from their vice-chairman, Anil Ambani, on Monday seeking their support for both himself and elder brother and chairman Mukesh Ambani.","Anil likes out new email, now to RIL Reliance products Ltd (RIL) employees have started more email. This one started from their vice-chairman, Anil Ambani, on Monday seeking their supports for both himself and elder friend and founder Mukesh Ambani.",calibration
"Scientists search for more human species SYDNEY - Following the spectacular discovery of a new species of human on the remote island of Flores in Indonesia, scientists said yesterday they expect to discover more species of hominoids on neighbouring islands.","Scientists search for more man in SYDNEY - Following the spectacular discovery of a strange form of humanoid on the isolated nation of sep in Indonesia, scientists said yesterday they expect to discover more forms of hominoids on neighbouring islands.",calibration
"A Look at U.S. Military Deaths in Iraq (AP) AP - As of Saturday, Nov. 20, 2004, at least 1,221 members of the U.S. military have died since the beginning of the Iraq war in March 2003, according to an Associated Press count. At least 946 died as a result of hostile action, the Defense Department said as of Friday. The figures include three military civilians.","A Look at p.d. Military Deaths in 2004 (abs) ap - As of Saturday, Nov. 20, 2004, at least 1,221 members of the U.S. service have died following the end of the saddam war in january 2003, according to an Associated military count. At least 946 died as a result of baghdad events, the Defense Department stated as of Friday. The totals represent several retired civilians.",calibration
Online attack puts 1.4 million records at risk Time to call the credit bureaus? Almost 1.4 million records containing the personal information of Californians likely stolen.,Online that puts 1.4th million records at risk Time to call the credit bureaus? Almost one.4 million records containing the personal information of Californians likely stolen.,calibration
"T-Mobile tries OFDM in Europe IT APPEARS THAT Germany #39;s T-Mobile has broken ranks and decided to test a complimentary IP based wireless technology,Flash-OFDM,in The Hague, the Netherlands.","T-Mobile and OFDM in Europe IT is THAT Germany #39;s T-Mobile has broken ranks and decided to market a complimentary fibre based wireless equipment,Flash-OFDM,in that court, the utrecht.",calibration
AOL Marketing #39;Bots #39; to Target AIM Users America Online Inc. announced Monday that it is launching an quot;AIM Bot Program quot; that will automatically distribute targeted advertising and quot;online presence quot; campaigns to its 100 million instant message users.,AOL strategy #63;Bots #31; to Target AIM s America Online Inc. announced Monday that it is starting an quot;arrow og software quot; that will it sell ad advertising and quot;a commerce quot; ads to its 400 million instant message people.,calibration
"Sweet dreams are made of this ... have we solved the Freudian ... Sigmund Freud may have been right all along. Dreams really could be our unconscious minds giving us a glimpse of our deepest, darkest desires.","Sweet dreams are made of this ... have we addressed the Freudian ... Sigmund Freud may have been right all along. fantasies really should be our future masters building us a hint of our lowest, lowest aspirations.",calibration
"Skepticism warranted on Iran #39;s nuclear pact Iran has agreed to a plan by the UN #39;s atomic agency, saying it will halt uranium enrichment work. But the world must remain vigilant about that nation #39;s plans.","Skepticism warranted on iran #35;s nuclear pact and has agreement to a project by the state #40;s energy authority, which it will end energy enrichment work. But the world must be vigilant about that national #40;s plans.",calibration
"Microsoft To Spoil Google amp; Yahoo #39;s Search Party With the announcement of its new search engine, Microsoft is all geared to spoil the search engine party of Google and Yahoo. The software giant today released a beta version of its new MSN search service, claiming","Microsoft To net Google l; you #s;s bold Party With the news of its new and engines, Microsoft is all positioned to spoil the search big party of Google and bing. The was giant was had a commercial base of its proposed MSN google tool, claiming",calibration
"GOP Must Decide Fate of Hurricanes Bill (AP) AP - Top congressional Republicans must decide the fate of a #36;14 billion package for victims of hurricanes and drought, with the approach of Election Day leaving both parties in particularly generous moods.","GOP Must Decide situation of hurricanes Bill (pp) pp - Top congressional Republicans must decide the fate of a #a;14 billion package for assistance of drought and drought, with the approach of Election Day both both parties in particularly generous moods.",calibration
"Weather dampens High Street sales UK High Street spending growth slows in August, partly hit by wet weather, a British Retail Consortium survey finds.","Weather dampens High Street sold cut High road spending development slows in midday, also hit by wet weather, a new sm Consortium project finds.",calibration
Parry wins butterfly bronze Stephen Parry comes a brilliant third behind Michael Phelps in the men's 200m butterfly.,i wins free medals rory Parry wins a brilliant gold for Michael Phelps in the men's 200m butterfly.,calibration
"Senate Confirms Adelstein for FCC Term (AP) AP - Jonathan Adelstein, a former staffer for outgoing Senate minority leader Tom Daschle, was approved for a full term on the Federal Communications Commission in a Senate vote early Sunday.","by Confirms Adelstein for FCC session (ap) from - Jonathan Adelstein, a former staffer for outgoing assembly in assembly mike Daschle, was nay for a to serve on the commercial Communications regulatory in a Senate vote early Sunday.",calibration
Inaugural Speeches Often Don't Inspire (AP) AP - Ask not why so few inaugural speeches resonate long after they are given.,Inaugural Speeches Often Don't Inspire (AP) ao - Ask not why so few inaugural speakers resonate long after they are given.,calibration
PM welcomes Anwar #39;s release OTTAWA -- Prime Minister Paul Martin joined world leaders and Malaysian opposition figures yesterday in welcoming the surprise release of former Malaysian deputy prime minister Anwar Ibrahim after six years in jail.,he welcomes malaysia #35;s signing on -- chairman of the Martin met series champions and Malaysian opposition gathered yesterday in welcoming the surprise return of former Malaysian deputy prime minister wee sim after six years in jail.,calibration
"No Surprise, the Angels Send Guillen On His Way The Anaheim Angels, who had preliminary conversations with the Mets about trading Jose Guillen for Mike Piazza, dealt him to the Washington-bound Expos.","No Surprise, the artists send Guillen On His Way The the rays, who had first negotiations with the phillies about exchange real Guillen for real cuban, trades him to the Washington-bound Expos.",calibration
"NASCAR: Hendrick plane missing A plane carrying members of the Hendrick Motorsports organization was missing Sunday after losing contact with the Federal Aviation Administration on its way to a NASCAR race, and a search was underway for the aircraft.","football: Hendrick plane missing an plane delivering players of the Hendrick motorsports organisation was lost the after losing contact with the Federal Aviation government on its route to a racing day, and a fire was brewing for the airport.",calibration
"F1 teams plan rival series in 2008 LONDON: GPWC Holdings, which groups the major Formula One carmakers, have appointed consultants to prepare the ground for the introduction of a rival Grand Prix series in 2008.","F1 cars design challenge series in wales uk: GPWC Holdings, which groups the major Formula e carmakers, have commissioned consultants to develop the site for the introduction of a similar grand works challenge in 2008.",calibration
"Minaya, Martinenz talk turkey When Omar Minaya and Al Leiter agreed to walk away from negotiations last week, the Mets #39; general manager explained the move by saying both sides had other options they wanted to explore.","Minaya, Martinenz talk turkey When guantanamo Minaya and Al Leiter decided to pull away from negotiations last friday, the cuban #39; general manager explained the move by saying both sides had other options they wanted to explore.",calibration
Food Industry Helps Americans Eat Faster Spoons are so old school. And so slow. Harried Americans searching for ways to shave precious seconds from their dining routines have seized on a slew of new foods designed to keep them on the go - no utensils needed.,Food Industry Helps Americans Eat Faster Spoons are so of schools. not so slow. Harried women seeking for cash to trim valuable inches from their dining life have seized on a slew of fresh foods designed to stay them on the going - no utensils required.,calibration
"Wizards go up for sale Kansas City, MO (Sports Network) - Lamar Hunt appears ready to get out of Major League Soccer and sever ties with the Kansas City Wizards.","and go up for sale Kansas cities, MO (games Network) - and other features like to look out of Major League Soccer and sever roots with the Kansas City Wizards.",calibration
"NIGERIA: New fuel strike shuts down key cities LAGOS, 11 Oct 2004 (IRIN) - Several of Nigeria #39;s biggest cities were paralysed on Monday as labour unions began a four-day general strike to protest at the latest fuel price increases under President Olusegun Obasanjos deregulation programme.","i: New fuel strike shuts down key cities LAGOS, 11 Oct 2004 (IRIN) - Several of the #39;s biggest cities were paralysed on friday as labour unions began a four-day general strike to protest at the proposed energy price increases under lagos Olusegun Obasanjos deregulation programme.",calibration
